domainSize,maxSideLength,order,numberOfCells,numberOfPoints,gradientFree,divideCriterion,divideParameter1,divideParameter2,divideParameter3,divideParameter4,gaussianAlpha,gaugeShift,finalGItolerance,GreenSingSubtracted,orbitalEnergies,BandEnergy,KineticEnergy,ExchangeEnergy,CorrelationEnergy,HartreeEnergy,TotalEnergy,Treecode,treecodeOrder,theta,maxParNode,batchSize,totalTime,timePerConvolution,totalIterationCount
32,64.0,3,4266.666666666667,115200,True,coarsenedUniform,0.5,8.0,2.0,0.0,0.5,-0.5,1e-07,1,[-3.87368807 -0.2072175 ],-8.161811154007975,0.0,-1.5996933158345468,-0.20573894884812635,5.4831187165149275,-13.083957503858093,True,6,0.7,8000,8000,567.6702127456665,3.1710523360000025,103
24,48.0,3,6788.740740740741,183296,True,coarsenedUniform,0.5,8.0,2.0,0.0,0.5,-0.5,1e-07,1,[-3.87260906 -0.20735952],-8.15993716034066,0.0,-1.599416882142286,-0.20573266563451872,5.482835872050995,-13.081894088076545,True,6,0.7,8000,8000,313.56015276908875,1.022745686999997,299
24,48.0,4,5593.75,358000,True,coarsenedUniform,0.5,8.0,2.0,0.0,0.5,-0.5,1e-07,1,[-3.87216097 -0.20746895],-8.159259840854947,0.0,-1.599413337461729,-0.20573700070416195,5.483101486758361,-13.081483723242735,True,6,0.7,8000,8000,267.26237201690674,2.6248434989999794,95
32,64.0,4,3515.625,225000,True,coarsenedUniform,0.5,8.0,2.0,0.0,0.5,-0.5,1e-07,1,[-3.87245135 -0.20745639],-8.159815480573803,0.0,-1.5996709730441268,-0.20575036601608487,5.483969596115328,-13.082820516932316,True,6,0.7,8000,8000,1017.3135304450989,5.995597779000036,109
24,48.0,5,4948.992,618624,True,coarsenedUniform,0.5,8.0,2.0,0.0,0.5,-0.5,1e-07,1,[-3.87207416 -0.20746468],-8.159077679283852,0.0,-1.5993669963691532,-0.2057349384085443,5.482986361727448,-13.081201962339,True,6,0.7,8000,8000,569.3940579891205,5.811919638999939,95
32,64.0,3,12363.851851851852,333824,True,coarsenedUniform,0.25,8.0,2.0,0.0,0.5,-0.5,1e-07,1,[-3.87248571 -0.20726645],-8.159504317365274,0.0,-1.5991115001891902,-0.20571176463037305,5.4817063636590095,-13.080435504478961,True,6,0.7,8000,8000,289.2480561733246,2.682444626000006,100
24,48.0,6,4547.925925925926,982352,True,coarsenedUniform,0.5,8.0,2.0,0.0,0.5,-0.5,1e-07,1,[-3.87201966 -0.20746283],-8.158964981603697,0.0,-1.5993484064099266,-0.20573422288965687,5.4829391211585605,-13.081048104677816,True,6,0.7,8000,8000,966.3489575386047,9.84653486000002,94
32,64.0,5,3110.4,388800,True,coarsenedUniform,0.5,8.0,2.0,0.0,0.5,-0.5,1e-07,1,[-3.87222392 -0.20745452],-8.159356881973686,0.0,-1.599475493666414,-0.20574046022453474,5.483322093165895,-13.08178050459761,True,6,0.7,8000,8000,1471.6860859394073,8.669594924999956,103
32,64.0,4,10187.5,652000,True,coarsenedUniform,0.25,8.0,2.0,0.0,0.5,-0.5,1e-07,1,[-3.87209243 -0.20747036],-8.159125579923758,0.0,-1.5992980701922364,-0.2057288209122016,5.482692177793927,-13.08097910166837,True,6,0.7,8000,8000,898.3740060329437,7.676001320999944,112
24,48.0,7,4275.125364431487,1466368,True,coarsenedUniform,0.5,8.0,2.0,0.0,0.5,-0.5,1e-07,1,[-3.87200675 -0.20746207],-8.158937640468135,0.0,-1.5993394284422164,-0.20573386161864374,5.482917278920052,-13.081001833105711,True,6,0.7,8000,8000,1805.1525738239288,19.192655814999853,94
32,64.0,5,9013.248,1126656,True,coarsenedUniform,0.25,8.0,2.0,0.0,0.5,-0.5,1e-07,1,[-3.87202643 -0.20746919],-8.158991226783709,0.0,-1.5993139354345267,-0.2057313898111841,5.4827980670649215,-13.080945042698266,True,6,0.7,8000,8000,1139.4650456905365,11.172273197999857,97
32,64.0,6,2858.3333333333335,617400,True,coarsenedUniform,0.5,8.0,2.0,0.0,0.5,-0.5,1e-07,1,[-3.87210693 -0.2074568 ],-8.159127456023946,0.0,-1.5994020362573091,-0.20573704824072847,5.483103646356784,-13.08135693391609,True,6,0.7,8000,8000,1798.107361793518,9.18721702699986,96
32,64.0,6,8282.814814814816,1789088,True,coarsenedUniform,0.25,8.0,2.0,0.0,0.5,-0.5,1e-07,1,[-3.87200116 -0.20746844],-8.158939197558968,0.0,-1.5993206116007792,-0.20573239087659337,5.4828418643711885,-13.080934510309447,True,6,0.7,8000,8000,2151.7656874656677,21.734921428000007,96
32,64.0,7,2686.8804664723034,921600,True,coarsenedUniform,0.5,8.0,2.0,0.0,0.5,-0.5,1e-07,1,[-3.87206906 -0.2074583 ],-8.159054731828991,0.0,-1.5993707920139726,-0.20573558354961474,5.483012762159774,-13.081204297882863,True,6,0.7,8000,8000,2334.733072042465,11.710488879999957,96
32,64.0,7,7785.98250728863,2670592,True,coarsenedUniform,0.25,8.0,2.0,0.0,0.5,-0.5,1e-07,1,[-3.87199541 -0.20746487],-8.15892057149609,0.0,-1.5993230058093566,-0.20573280489297258,5.48285971260662,-13.08093289803251,True,6,0.7,8000,8000,3780.4994859695435,38.809933511000054,96
16,8.0,3,12231.111111111111,330240,True,coarsenedUniform,0.25,4.0,2.0,0.0,0.5,-0.5,1e-07,1,[-3.8724253  -0.20740325],-8.15965709924985,0.0,-1.5991466069809341,-0.20571508054781423,5.481874534800082,-13.080744351980053,True,8,0.7,4000,4000,295.8266260623932,2.936514176000003,92
16,8.0,4,10078.125,645000,True,coarsenedUniform,0.25,4.0,2.0,0.0,0.5,-0.5,1e-07,1,[-3.87205966 -0.20749004],-8.159099388424888,0.0,-1.59931849155564,-0.20573127731779894,5.482794731130051,-13.081048381432193,True,8,0.7,4000,4000,664.011693239212,6.928552126999989,90
16,8.0,5,8916.48,1114560,True,coarsenedUniform,0.25,4.0,2.0,0.0,0.5,-0.5,1e-07,1,[-3.87201533 -0.20747472],-8.158980100806417,0.0,-1.5993222760459882,-0.20573237489063478,5.482839329921838,-13.080972288155223,True,8,0.7,4000,4000,1323.1117284297943,13.805035791999899,90
16,8.0,6,8193.888888888889,1769880,True,coarsenedUniform,0.25,4.0,2.0,0.0,0.5,-0.5,1e-07,1,[-3.87199717 -0.20746826],-8.158930845019803,0.0,-1.5993237006691698,-0.20573277358525352,5.482857170964998,-13.080940390096156,True,8,0.7,4000,4000,2406.3037490844727,25.756681621000098,90
16,8.0,7,7702.390670553936,2641920,True,coarsenedUniform,0.25,4.0,2.0,0.0,0.5,-0.5,1e-07,1,[-3.87199339 -0.20746509],-8.158916962949528,0.0,-1.5993242318354692,-0.20573296111821684,5.482865735060852,-13.080934883658923,True,8,0.7,4000,4000,3647.5361392498016,39.148099957999875,90
